event,h,arm,d_ap,lo,hi
MLB_DEBUT,3,v3,0.01037568479756164,0.0008959921372640792,0.021229686493361443
MLB_DEBUT,3,mix_v3,0.01175118504895552,0.006678680259856381,0.017392954808366008
MLB_DEBUT,6,v3,0.0020598262289818112,-0.0054635474239548175,0.010013538441035204
MLB_DEBUT,6,mix_v3,0.00561334247951471,0.001846630063319385,0.009613526853912103
TOP_100_PROSPECT,3,v3,0.00457537648464897,-0.016381040019718424,0.022799417839562228
TOP_100_PROSPECT,3,mix_v3,0.009766898272260927,-0.0008469634710501717,0.019847181679877604
TOP_100_PROSPECT,6,v3,0.0020138230965944365,-0.0148001520575898,0.019197706602138348
TOP_100_PROSPECT,6,mix_v3,0.007014271627099941,-0.0024221794954485494,0.015977667413531568
ESTABLISHED_MLB,3,v3,0.021430204479253347,-0.008002938182743731,0.05280668675911693
ESTABLISHED_MLB,3,mix_v3,0.01879273699708384,0.005904715651597977,0.03294533784476779
ESTABLISHED_MLB,3,v3cond,0.016153967788581334,-0.011857886727001134,0.043483068386431414
ESTABLISHED_MLB,3,mix_cond,0.02258542027454568,0.008210016597299554,0.03619480324280358
ESTABLISHED_MLB,6,v3,0.017384684666494503,0.0014973335181396443,0.03272336343789075
ESTABLISHED_MLB,6,mix_v3,0.01460763322699209,0.005802525127798246,0.02310286509343872
ESTABLISHED_MLB,6,v3cond,0.012827734273275718,-0.0039865457214618965,0.02804419641330189
ESTABLISHED_MLB,6,mix_cond,0.012927137309260006,0.003676278393128206,0.021096354548221646
STAR_PLUS_ELITE,3,v3,0.031173093402481755,-0.007600303407389449,0.10035452954899335
STAR_PLUS_ELITE,3,mix_v3,0.011599182033348853,-0.008544507487431631,0.04649936327558578
STAR_PLUS_ELITE,3,v3cond,0.05206297762272593,0.0013893770568164914,0.12264276780634892
STAR_PLUS_ELITE,3,mix_cond,0.036362313332406984,0.0028101767552529966,0.09315170208422884
STAR_PLUS_ELITE,6,v3,0.03878047017015419,0.006701184894845622,0.08553924663900167
STAR_PLUS_ELITE,6,mix_v3,0.028301056126228262,0.006708561306233859,0.057767074608963104
STAR_PLUS_ELITE,6,v3cond,0.05524818218889464,0.020392992608187083,0.10160271045935847
STAR_PLUS_ELITE,6,mix_cond,0.03979261693907175,0.014011372676656343,0.07708372642464226
