event,h,arm,n,pos,ap,auc,calib,ece
MLB_DEBUT,3,control,42119,2217,0.5310208825556558,0.9425152742848757,0.889263960379514,0.006915938622799236
MLB_DEBUT,3,v3,42119,2217,0.5415920130477644,0.9426205559054958,0.9832080540021766,0.003668837471145852
MLB_DEBUT,3,mix_v3,42119,2217,0.5428664039173395,0.9440234460761749,0.9362360071908454,0.004695102053433782
MLB_DEBUT,6,control,35279,3063,0.5671287577366119,0.9233250769516016,0.9171852759560398,0.009972005923791138
MLB_DEBUT,6,v3,35279,3063,0.5692551535988613,0.9234380914462378,0.955080999031105,0.008597779374204707
MLB_DEBUT,6,mix_v3,35279,3063,0.5728024639660493,0.9247383763092433,0.9361331374935723,0.008679328264197799
TOP_100_PROSPECT,3,control,41850,319,0.4550399249131201,0.976540468429784,0.9702307953935627,0.0013224686131045147
TOP_100_PROSPECT,3,v3,41850,319,0.4595264946292936,0.9744623289669408,0.9447969296614198,0.0008915133942943402
TOP_100_PROSPECT,3,mix_v3,41850,319,0.46478921407276924,0.9766408579941305,0.9575138625274912,0.0009155845978849272
TOP_100_PROSPECT,6,control,35057,368,0.43028776672720964,0.9686223909471364,0.9862659532472999,0.0019315791839576663
TOP_100_PROSPECT,6,v3,35057,368,0.43157348127288103,0.9647216195586372,0.9228923327106451,0.001518331852851545
TOP_100_PROSPECT,6,mix_v3,35057,368,0.43695081903248123,0.9677357469539898,0.9545791429789726,0.0014805819629693465
ESTABLISHED_MLB,3,control,42119,291,0.24838576097671292,0.9672864195607803,0.6185125472073258,0.002731401489415696
ESTABLISHED_MLB,3,v3,42119,291,0.2706054107994276,0.9679706157140995,0.7496476921232113,0.0017296830787090268
ESTABLISHED_MLB,3,mix_v3,42119,291,0.26735511163671294,0.9688367055133656,0.6840801196652685,0.002213917328517
ESTABLISHED_MLB,3,v3cond,42119,291,0.2641450547858055,0.9678654969607166,0.8461689521413805,0.0012519509312696356
ESTABLISHED_MLB,3,mix_cond,42119,291,0.2709227543610002,0.9692510598960824,0.7323407496743533,0.0018845372354486104
ESTABLISHED_MLB,6,control,35279,956,0.32507182789451816,0.9358281441979267,0.736610845486163,0.0073866182626717
ESTABLISHED_MLB,6,v3,35279,956,0.3423171537618926,0.938121167881254,0.8079613498851794,0.006333349460061207
ESTABLISHED_MLB,6,mix_v3,35279,956,0.3396009586299923,0.9388578776055237,0.7722860976856711,0.00629869812901325
ESTABLISHED_MLB,6,v3cond,35279,956,0.3377714982283784,0.9371202928565535,0.8354210639625224,0.005838521924442041
ESTABLISHED_MLB,6,mix_cond,35279,956,0.33805126386860707,0.9383298822398145,0.7860159547243425,0.006200583743729201
STAR_PLUS_ELITE,3,control,42119,44,0.05987537158504156,0.9653005995786744,0.4707565494107395,0.0005540522779730519
STAR_PLUS_ELITE,3,v3,42119,44,0.09055656038865485,0.9572092583589911,0.5742941205900527,0.000444717554881115
STAR_PLUS_ELITE,3,mix_v3,42119,44,0.06874520864026473,0.9636258304974883,0.5225253350003961,0.000498798291981827
STAR_PLUS_ELITE,3,v3cond,42119,44,0.1115797124800441,0.960547993302004,0.6687517417344853,0.00034604153383704873
STAR_PLUS_ELITE,3,mix_cond,42119,44,0.09147088206948528,0.9653878355750014,0.5697541455726123,0.00044946028145979373
STAR_PLUS_ELITE,6,control,35279,153,0.13505504813261549,0.9519301011224205,0.7663588683014106,0.0010799855912402893
STAR_PLUS_ELITE,6,v3,35279,153,0.17238882246585036,0.9428058057286951,0.8020948246355762,0.0008681094132109054
STAR_PLUS_ELITE,6,mix_v3,35279,153,0.16194165544478684,0.9497176178828114,0.7842268464684936,0.0009697050359005463
STAR_PLUS_ELITE,6,v3cond,35279,153,0.18994812143061354,0.9465375628130887,0.8935130871669664,0.0006306468538051732
STAR_PLUS_ELITE,6,mix_cond,35279,153,0.1730755203864004,0.9503483072516903,0.8299359777341886,0.0008201915542315259
