event,h,arm,n,pos,ap,auc,calib,ece
MLB_DEBUT,3,control,42119,2217,0.5130735662622026,0.9382164697735884,0.8948511224184642,0.006932403852725674
MLB_DEBUT,3,v3,42119,2217,0.5175515535026871,0.9371118633977558,0.9806441239168961,0.0036334193951074395
MLB_DEBUT,3,mix_v3,42119,2217,0.5263920074397724,0.940048416319577,0.9377476231676805,0.004038665831857006
MLB_DEBUT,6,control,35279,3063,0.5538300300652992,0.9183862361154923,0.9354185151376916,0.007111448350820633
MLB_DEBUT,6,v3,35279,3063,0.5581501558633158,0.9187217022933916,0.972328444856157,0.005582971855798127
MLB_DEBUT,6,mix_v3,35279,3063,0.5645806545433227,0.9208332502344403,0.9538734799969242,0.004611215312312313
TOP_100_PROSPECT,3,control,41850,319,0.41136887082843143,0.9738334600531432,1.012697054545562,0.0008842386167702237
TOP_100_PROSPECT,3,v3,41850,319,0.395552114462787,0.9644620187405427,1.0326231611844658,0.0006745581031038101
TOP_100_PROSPECT,3,mix_v3,41850,319,0.42074768869179696,0.9724002669305679,1.022660107865014,0.0006082696439887301
TOP_100_PROSPECT,6,control,35057,368,0.3964577640721024,0.9634954681160672,1.0190692152609422,0.0015596150285331631
TOP_100_PROSPECT,6,v3,35057,368,0.38190961725865363,0.9518065885439189,0.9927079076175461,0.001269152619584818
TOP_100_PROSPECT,6,mix_v3,35057,368,0.40500251872779064,0.9619299658957169,1.005888561439244,0.0006237345947553073
ESTABLISHED_MLB,3,control,42119,291,0.19035591379681466,0.9566274847707202,0.6904386995687889,0.0023662792371392538
ESTABLISHED_MLB,3,v3,42119,291,0.20061476666737185,0.955766365416612,0.7870657955602387,0.0014937454271876126
ESTABLISHED_MLB,3,mix_v3,42119,291,0.20754260282885323,0.9599564506848041,0.7387522475645136,0.0019858550765118107
ESTABLISHED_MLB,3,v3cond,42119,291,0.1978945163920177,0.9587885193068522,0.8897833591042428,0.0008544929885017643
ESTABLISHED_MLB,3,mix_cond,42119,291,0.2072801257059103,0.9621864142042013,0.7901110293365159,0.001536984420383146
ESTABLISHED_MLB,6,control,35279,956,0.26731567222984065,0.9251201543739592,0.7799814850719803,0.007656360391707261
ESTABLISHED_MLB,6,v3,35279,956,0.2854414661666715,0.9280933549444198,0.8589062853464112,0.00591178400891721
ESTABLISHED_MLB,6,mix_v3,35279,956,0.28495524729500815,0.9307496668676859,0.8194438852091955,0.005902551982399756
ESTABLISHED_MLB,6,v3cond,35279,956,0.2924109984123941,0.9290886985890988,0.861302022313795,0.005330739831390909
ESTABLISHED_MLB,6,mix_cond,35279,956,0.28693944567633184,0.9311892058669321,0.8206417536928877,0.005612134168872978
STAR_PLUS_ELITE,3,control,42119,44,0.06311594078361846,0.9527364554637282,0.6758851362982264,0.0003518067848566557
STAR_PLUS_ELITE,3,v3,42119,44,0.05186064842047023,0.9369570031869496,0.9154505271020421,8.832538302215504e-05
STAR_PLUS_ELITE,3,mix_v3,42119,44,0.06994651076454973,0.9539858477826393,0.7956678317001342,0.0002247190353969493
STAR_PLUS_ELITE,3,v3cond,42119,44,0.08508334165138287,0.9528136984821477,1.1325931191739067,0.0002542022342134293
STAR_PLUS_ELITE,3,mix_cond,42119,44,0.0824519720289283,0.9620909631070058,0.9042391277360666,0.00011152244810932076
STAR_PLUS_ELITE,6,control,35279,153,0.08355869212797133,0.9317184559488736,0.9523232823566556,0.0007066678644070461
STAR_PLUS_ELITE,6,v3,35279,153,0.08850628883808341,0.919388520653379,1.0125927140728852,0.00014039876432487498
STAR_PLUS_ELITE,6,mix_v3,35279,153,0.09372552787415374,0.932094692533583,0.9824579982147703,0.0003101476855208944
STAR_PLUS_ELITE,6,v3cond,35279,153,0.09443941354066565,0.9295837505986851,1.0155463729578655,0.00024313099940813447
STAR_PLUS_ELITE,6,mix_cond,35279,153,0.09689306450827143,0.9349178624551987,0.9839348276572606,0.000229626838763945
