event,h,arm,d_ap,lo,hi
MLB_DEBUT,3,v3,0.014186725408743994,0.0036162103409468965,0.026216804203322102
MLB_DEBUT,3,mix_v3,0.01812842423669048,0.012602330426569198,0.024477496432301012
MLB_DEBUT,6,v3,0.006163112241627721,-0.0033826764993514224,0.013933638058014891
MLB_DEBUT,6,mix_v3,0.011525736649460381,0.006363273648906301,0.015659581023949355
TOP_100_PROSPECT,3,v3,-0.0117289514746768,-0.04187587365734384,0.025559495468334463
TOP_100_PROSPECT,3,mix_v3,0.015003210704400406,-0.001045563361829224,0.03295344993584358
TOP_100_PROSPECT,6,v3,-0.013415862431181938,-0.04688579990285278,0.01388561394992742
TOP_100_PROSPECT,6,mix_v3,0.00967247237515878,-0.005360965159184266,0.023487698011214145
ESTABLISHED_MLB,3,v3,-0.003499315531424983,-0.032471483751903486,0.024233965431357776
ESTABLISHED_MLB,3,mix_v3,0.011681066023882802,-0.001395221383223485,0.02557516807326711
ESTABLISHED_MLB,3,v3cond,0.006815641474433907,-0.024203301659694088,0.037935698975901266
ESTABLISHED_MLB,3,mix_cond,0.019907092744436677,0.004192031303402794,0.0377916463042298
ESTABLISHED_MLB,6,v3,0.018793862305167375,-0.0021110835717052436,0.03455952062830048
ESTABLISHED_MLB,6,mix_v3,0.017569919851216205,0.006795301709864218,0.027820276673056074
ESTABLISHED_MLB,6,v3cond,0.025135954552454046,0.008196514320101727,0.04449280883385285
ESTABLISHED_MLB,6,mix_cond,0.020229998919590413,0.010587144369178476,0.031091798875967917
STAR_PLUS_ELITE,3,v3,-0.011167770277842253,-0.06818069059763848,0.026396887656956015
STAR_PLUS_ELITE,3,mix_v3,0.0030070923294803808,-0.022585502778489527,0.030573723474574904
STAR_PLUS_ELITE,3,v3cond,0.02274249152062028,-0.028713680752692344,0.08215177861467192
STAR_PLUS_ELITE,3,mix_cond,0.022400919439395726,-0.011658089955731766,0.06161222530790281
STAR_PLUS_ELITE,6,v3,0.0050618814896242585,-0.018826565959784654,0.031257959660587545
STAR_PLUS_ELITE,6,mix_v3,0.008849667394838518,-0.0035885416339362904,0.025499563388010217
STAR_PLUS_ELITE,6,v3cond,0.010314140311293294,-0.014800241339674308,0.03961403104032986
STAR_PLUS_ELITE,6,mix_cond,0.011577152974497818,-0.0023016658151527314,0.028969337847814098
