event,h,arm,n,pos,ap,auc,calib,ece
MLB_DEBUT,3,control,42119,2217,0.5130735662622026,0.9382164697735884,0.8948511224184642,0.006932403852725674
MLB_DEBUT,3,v3,42119,2217,0.5277368427457447,0.9378973410430657,0.9496146274820546,0.00466907772142536
MLB_DEBUT,3,mix_v3,42119,2217,0.5315261608387314,0.9407234632834206,0.9222328749502595,0.00525066884671396
MLB_DEBUT,6,control,35279,3063,0.5538300300652992,0.9183862361154923,0.9354185151376916,0.007111448350820633
MLB_DEBUT,6,v3,35279,3063,0.5600637252718896,0.9186524920628395,0.937855770885042,0.00868654671382881
MLB_DEBUT,6,mix_v3,35279,3063,0.5654878986506868,0.9209532419958943,0.936637143011367,0.006638663680972011
TOP_100_PROSPECT,3,control,41850,319,0.41136887082843143,0.9738334600531432,1.012697054545562,0.0008842386167702237
TOP_100_PROSPECT,3,v3,41850,319,0.39886226657710433,0.96621041999899,1.0147367027319976,0.00056846605077094
TOP_100_PROSPECT,3,mix_v3,41850,319,0.4258144143116408,0.9727601974851432,1.0137168786387798,0.0008458876479440369
TOP_100_PROSPECT,6,control,35057,368,0.3964577640721024,0.9634954681160672,1.0190692152609422,0.0015596150285331631
TOP_100_PROSPECT,6,v3,35057,368,0.3834583460943234,0.9522487942550389,0.9754189331800199,0.001296273563314184
TOP_100_PROSPECT,6,mix_v3,35057,368,0.4064432143936959,0.9616808579840496,0.997244074220481,0.0010909014187709257
ESTABLISHED_MLB,3,control,42119,291,0.19035591379681466,0.9566274847707202,0.6904386995687889,0.0023662792371392538
ESTABLISHED_MLB,3,v3,42119,291,0.18763040396286518,0.9558790014548205,0.8097453879001109,0.0013307394872436444
ESTABLISHED_MLB,3,mix_v3,42119,291,0.20191478714664357,0.960223293757088,0.7500920437344498,0.0018074944886869524
ESTABLISHED_MLB,3,v3cond,42119,291,0.1989086626009437,0.9597670808320904,0.9079943345475219,0.0009065576253750363
ESTABLISHED_MLB,3,mix_cond,42119,291,0.21066721985351528,0.962357956179241,0.7992165170581553,0.001477300020883482
ESTABLISHED_MLB,6,control,35279,956,0.26731567222984065,0.9251201543739592,0.7799814850719803,0.007656360391707261
ESTABLISHED_MLB,6,v3,35279,956,0.2865214792159209,0.9287929449944942,0.8546847492979327,0.006802490473094667
ESTABLISHED_MLB,6,mix_v3,35279,956,0.2846499362651901,0.9311110656003994,0.8173331171849566,0.006345016634833654
ESTABLISHED_MLB,6,v3cond,35279,956,0.2930065418740328,0.9302514007648482,0.8406838301968955,0.0060509314130052505
ESTABLISHED_MLB,6,mix_cond,35279,956,0.2872437803147117,0.9315810043328228,0.810332657634438,0.005966199814374971
STAR_PLUS_ELITE,3,control,42119,44,0.06311594078361846,0.9527364554637282,0.6758851362982264,0.0003518067848566557
STAR_PLUS_ELITE,3,v3,42119,44,0.05424120529312127,0.9346837357532545,0.8692182006863349,0.0001366224072224235
STAR_PLUS_ELITE,3,mix_v3,42119,44,0.0658300390970585,0.9536566196726625,0.7725516684922806,0.00023760598747215377
STAR_PLUS_ELITE,3,v3cond,42119,44,0.09093652968165263,0.9548927780478582,1.1329606899660694,0.00021826678151985564
STAR_PLUS_ELITE,3,mix_cond,42119,44,0.08441804972965665,0.9624755577161994,0.9044229131321478,0.00011165627197571261
STAR_PLUS_ELITE,6,control,35279,153,0.08355869212797133,0.9317184559488736,0.9523232823566556,0.0007066678644070461
STAR_PLUS_ELITE,6,v3,35279,153,0.0881371774037976,0.9174259314460473,0.9922443711855731,0.00030570643480028154
STAR_PLUS_ELITE,6,mix_v3,35279,153,0.09248745656765725,0.9319300192509581,0.9722838267711145,0.000298276798372663
STAR_PLUS_ELITE,6,v3cond,35279,153,0.09427017929126962,0.9328289306954349,0.9955359748278548,0.00023963285462044918
STAR_PLUS_ELITE,6,mix_cond,35279,153,0.09516966030916696,0.9367877880526464,0.973929628592255,0.00015866543766130387
