event,h,arm,n,pos,ap,auc,calib,ece
MLB_DEBUT,3,control,42119,2217,0.5130735662622026,0.9382164697735884,0.8948511224184642,0.006932403852725674
MLB_DEBUT,3,v3,42119,2217,0.5241499389963561,0.938677194851337,0.8870415311665556,0.007408053832176501
MLB_DEBUT,3,mix_v3,42119,2217,0.5289686376017263,0.9408126251218959,0.89094632679251,0.006224944097189946
MLB_DEBUT,6,control,35279,3063,0.5538300300652992,0.9183862361154923,0.9354185151376916,0.007111448350820633
MLB_DEBUT,6,v3,35279,3063,0.5578469089543019,0.9183153537730667,0.8925605747248536,0.010084744801096309
MLB_DEBUT,6,mix_v3,35279,3063,0.5641379224386226,0.9208842040435353,0.9139895449312726,0.00783843229729091
TOP_100_PROSPECT,3,control,41850,319,0.41136887082843143,0.9738334600531432,1.012697054545562,0.0008842386167702237
TOP_100_PROSPECT,3,v3,41850,319,0.40094573356381974,0.9659288763335678,0.9654343251472833,0.0008332318994400492
TOP_100_PROSPECT,3,mix_v3,41850,319,0.4211952497379101,0.9726064052014173,0.9890656898464228,0.0007667134418802797
TOP_100_PROSPECT,6,control,35057,368,0.3964577640721024,0.9634954681160672,1.0190692152609422,0.0015596150285331631
TOP_100_PROSPECT,6,v3,35057,368,0.38518893899637335,0.9523383712666714,0.9418953951220079,0.0016180043518932033
TOP_100_PROSPECT,6,mix_v3,35057,368,0.4052172168412521,0.961762405574001,0.980482305191475,0.0011424413155033237
ESTABLISHED_MLB,3,control,42119,291,0.19035591379681466,0.9566274847707202,0.6904386995687889,0.0023662792371392538
ESTABLISHED_MLB,3,v3,42119,291,0.19402205586520482,0.9587996925389428,0.7209636043090452,0.0019392038073343892
ESTABLISHED_MLB,3,mix_v3,42119,291,0.20502780344645274,0.9610551244550173,0.705701151938917,0.0020599704097552323
ESTABLISHED_MLB,3,v3cond,42119,291,0.21000952736360906,0.9609921928683889,0.8562084195762005,0.0012367612812483428
ESTABLISHED_MLB,3,mix_cond,42119,291,0.21391931634326844,0.9627118847369378,0.7733235595724948,0.0016201437637496658
ESTABLISHED_MLB,6,control,35279,956,0.26731567222984065,0.9251201543739592,0.7799814850719803,0.007656360391707261
ESTABLISHED_MLB,6,v3,35279,956,0.27828621323029396,0.9288931650672294,0.7764952589904818,0.007880395606356803
ESTABLISHED_MLB,6,mix_v3,35279,956,0.27999664697951554,0.9309769105874209,0.7782383720312309,0.007074292695548545
ESTABLISHED_MLB,6,v3cond,35279,956,0.28993904281605115,0.9288883346334362,0.7958694747987245,0.006923469328676168
ESTABLISHED_MLB,6,mix_cond,35279,956,0.28580753368711787,0.9310388833768103,0.7879254799353524,0.00684559096999835
STAR_PLUS_ELITE,3,control,42119,44,0.06311594078361846,0.9527364554637282,0.6758851362982264,0.0003518067848566557
STAR_PLUS_ELITE,3,v3,42119,44,0.050690987518699555,0.939281855993086,0.8098948455103318,0.00020736034731026051
STAR_PLUS_ELITE,3,mix_v3,42119,44,0.06268501999883154,0.9533643925889915,0.7428899909042791,0.000279042384767891
STAR_PLUS_ELITE,3,v3cond,42119,44,0.07081434329314366,0.9565418894830658,0.93196783607321,9.236281783625366e-05
STAR_PLUS_ELITE,3,mix_cond,42119,44,0.07701716256817029,0.9623740074542214,0.8039264861857182,0.00021596771918776822
STAR_PLUS_ELITE,6,control,35279,153,0.08355869212797133,0.9317184559488736,0.9523232823566556,0.0007066678644070461
STAR_PLUS_ELITE,6,v3,35279,153,0.08443555410609961,0.9179311155842701,0.8802617843555277,0.0006386383928738748
STAR_PLUS_ELITE,6,mix_v3,35279,153,0.09173479573471031,0.9311662887554384,0.9162925333560915,0.0004319054657665152
STAR_PLUS_ELITE,6,v3cond,35279,153,0.09110334054123603,0.9344151902823039,0.8815142768439866,0.0005701891050207787
STAR_PLUS_ELITE,6,mix_cond,35279,153,0.09437610437302858,0.9372700853956568,0.916918779600321,0.0004064631513035557
