event,h,arm,d_ap,lo,hi
MLB_DEBUT,3,haz,-0.0003831248334467002,-0.013516659923466179,0.010992474310180626
MLB_DEBUT,3,mix_haz,0.012253608853585556,0.006089824972682553,0.018461212281776218
MLB_DEBUT,6,haz,-0.0020427578228653072,-0.01179280266673663,0.007209800794807416
MLB_DEBUT,6,mix_haz,0.008357055352366145,0.0029210002236775973,0.013663405324497613
TOP_100_PROSPECT,3,haz,-0.028705365178641865,-0.06759846193687229,0.0029934627797432323
TOP_100_PROSPECT,3,mix_haz,0.006877457829143598,-0.012542360621780976,0.0236790750960865
TOP_100_PROSPECT,6,haz,-0.017940840582333556,-0.0516525659762005,0.013120102555868166
TOP_100_PROSPECT,6,mix_haz,0.008281571349013174,-0.009823689303082693,0.023819417316549053
ESTABLISHED_MLB,3,haz,0.006908886614914087,-0.02371582236913053,0.03538513273038811
ESTABLISHED_MLB,3,mix_haz,0.013032676633712112,-0.002773426318870064,0.029655245104045828
ESTABLISHED_MLB,6,haz,0.017337981959084384,0.0014234331834964494,0.03590481913789294
ESTABLISHED_MLB,6,mix_haz,0.018133553177755096,0.009396876360567356,0.028492213558981606
STAR_PLUS_ELITE,3,haz,-0.01211389208312358,-0.05089092070342214,0.009901891127004875
STAR_PLUS_ELITE,3,mix_haz,0.007291119975375026,-0.0050358932441582835,0.02527965202962801
STAR_PLUS_ELITE,6,haz,0.02875500480644444,0.0019632084216900884,0.06289376294304362
STAR_PLUS_ELITE,6,mix_haz,0.023414570524593205,0.0072562812957569734,0.04645125043492764
