event,h,arm,n,pos,ap,auc,calib,ece
MLB_DEBUT,3,control,42119,2217,0.5130735662622026,0.9382164697735884,0.8948511224184642,0.006932403852725674
MLB_DEBUT,3,haz,42119,2217,0.5128439688534123,0.9365638303695204,0.9149580168802387,0.0069237435714394275
MLB_DEBUT,3,mix_haz,42119,2217,0.5253919994044762,0.9399815576579399,0.9049045696493516,0.006236242450740913
MLB_DEBUT,6,control,35279,3063,0.5538300300652992,0.9183862361154923,0.9354185151376916,0.007111448350820633
MLB_DEBUT,6,haz,35279,3063,0.5518090280524808,0.9170487036937499,0.9371047574671204,0.010793734314675818
MLB_DEBUT,6,mix_haz,35279,3063,0.5622296897683182,0.9201778735860724,0.9362616363024058,0.007620394490739609
TOP_100_PROSPECT,3,control,41850,319,0.41136887082843143,0.9738334600531432,1.012697054545562,0.0008842386167702237
TOP_100_PROSPECT,3,haz,41850,319,0.3813533792229977,0.9686913631536634,0.8503209060417523,0.001577762934708735
TOP_100_PROSPECT,3,mix_haz,41850,319,0.4178778706778022,0.9740045374573467,0.9315089802936574,0.0008361817734356218
TOP_100_PROSPECT,6,control,35057,368,0.3964577640721024,0.9634954681160672,1.0190692152609422,0.0015596150285331631
TOP_100_PROSPECT,6,haz,35057,368,0.3776099041515387,0.9593110427187168,0.9210551434884309,0.0019924038267205516
TOP_100_PROSPECT,6,mix_haz,35057,368,0.404668742445846,0.9644208100049257,0.9700621793746865,0.0008711307725360504
ESTABLISHED_MLB,3,control,42119,291,0.19035591379681466,0.9566274847707202,0.6904386995687889,0.0023662792371392538
ESTABLISHED_MLB,3,haz,42119,291,0.20058162166401308,0.9526813620958616,0.783867291723693,0.0016700363968865737
ESTABLISHED_MLB,3,mix_haz,42119,291,0.20423540546315994,0.9589968672228963,0.7371529956462409,0.0018809746940525367
ESTABLISHED_MLB,6,control,35279,956,0.26731567222984065,0.9251201543739592,0.7799814850719803,0.007656360391707261
ESTABLISHED_MLB,6,haz,35279,956,0.28533904649085556,0.9241705246137574,0.8059869363864846,0.007379569929931236
ESTABLISHED_MLB,6,mix_haz,35279,956,0.2850335140710432,0.9295438260229517,0.7929842107292323,0.006510229223590004
STAR_PLUS_ELITE,3,control,42119,44,0.06311594078361846,0.9527364554637282,0.6758851362982264,0.0003518067848566557
STAR_PLUS_ELITE,3,haz,42119,44,0.05370492730463439,0.947002376708259,0.6679495398207305,0.0003566970146373655
STAR_PLUS_ELITE,3,mix_haz,42119,44,0.0693578477907839,0.9594312105007292,0.6719173380594785,0.00035425189974701065
STAR_PLUS_ELITE,6,control,35279,153,0.08355869212797133,0.9317184559488736,0.9523232823566556,0.0007066678644070461
STAR_PLUS_ELITE,6,haz,35279,153,0.11047405970635354,0.9270902993853314,0.8113557253228575,0.0008673842431421553
STAR_PLUS_ELITE,6,mix_haz,35279,153,0.10616385667108479,0.9372607818203673,0.8818395038397566,0.000567169492758039
