event,h,arm,d_ap,lo,hi
MLB_DEBUT,3,haz,-0.006482586996831259,-0.019326090710125622,0.004831264796122127
MLB_DEBUT,3,mix_haz,0.006157953282817285,-0.00014520880812467213,0.01274342939390564
MLB_DEBUT,6,haz,-0.004664172993945513,-0.014569449106650425,0.006376412338235823
MLB_DEBUT,6,mix_haz,0.004559053667104808,-0.0002914602045998776,0.010296535582117197
TOP_100_PROSPECT,3,haz,-0.01269216550862637,-0.04008850304002182,0.013949390214002058
TOP_100_PROSPECT,3,mix_haz,0.010697085554807828,-0.0025220359989597927,0.024251360558197595
TOP_100_PROSPECT,6,haz,-0.0022324769747783693,-0.028339621856726185,0.02549137294986699
TOP_100_PROSPECT,6,mix_haz,0.011934483905048147,-0.002353737908807074,0.025500388586183975
ESTABLISHED_MLB,3,haz,0.0039416825246747205,-0.019760359294045553,0.0313810432044114
ESTABLISHED_MLB,3,mix_haz,0.012093335448444481,0.0001576862694377292,0.02763614668600554
ESTABLISHED_MLB,6,haz,0.014791701936062326,-0.004168365449543018,0.031322015323256014
ESTABLISHED_MLB,6,mix_haz,0.014298703969037353,0.0029030742535877648,0.023553911101613867
STAR_PLUS_ELITE,3,haz,0.043874939027930354,-0.003971994887153753,0.11953716822473094
STAR_PLUS_ELITE,3,mix_haz,0.014896350605570126,-0.0020961762440242855,0.05200257640965628
STAR_PLUS_ELITE,6,haz,0.050932201230370025,0.01026582446057109,0.09919124972610947
STAR_PLUS_ELITE,6,mix_haz,0.03432599232208272,0.00998190553664548,0.06418845346826521
