event,h,arm,d_ap,lo,hi
MLB_DEBUT,3,v3,-0.0027888792839480775,-0.013367214176646013,0.008179492871851254
MLB_DEBUT,3,mix_v3,0.00826359147011018,0.003127085807136078,0.013619389278133704
MLB_DEBUT,6,v3,-0.005813505254146456,-0.015519116505360236,0.003717164961106996
MLB_DEBUT,6,mix_v3,0.005413967780320248,0.0009307462357294518,0.009608423136981126
TOP_100_PROSPECT,3,v3,-0.03420674922124314,-0.06393949474423892,-0.0021651562819787135
TOP_100_PROSPECT,3,mix_v3,0.0018183009451687756,-0.013358541277485531,0.02058652149851261
TOP_100_PROSPECT,6,v3,-0.03513905230889235,-0.06227151324855152,-0.00107943719595893
TOP_100_PROSPECT,6,mix_v3,-0.0034855218884964735,-0.018129317005612985,0.013230875155050476
ESTABLISHED_MLB,3,v3,-0.0005035939751653482,-0.03360486188077972,0.02847150808057523
ESTABLISHED_MLB,3,mix_v3,0.011155748825607634,-0.0017490099837940286,0.025054766797936324
ESTABLISHED_MLB,3,v3cond,0.005475268809057239,-0.03310295215803585,0.03679464405405125
ESTABLISHED_MLB,3,mix_cond,0.021536648820357177,0.0056648952561214,0.037677065857967366
ESTABLISHED_MLB,6,v3,0.007181802790957526,-0.007979838958827458,0.02202133205821073
ESTABLISHED_MLB,6,mix_v3,0.011473827122902099,0.0035233148969179787,0.02055099243682535
ESTABLISHED_MLB,6,v3cond,0.023592238642099632,0.006070705171256662,0.041181509864076676
ESTABLISHED_MLB,6,mix_cond,0.020032727164230657,0.011018853653502764,0.029206299110993716
STAR_PLUS_ELITE,3,v3,-0.039750989202009104,-0.11894709000134372,0.0020675921773077813
STAR_PLUS_ELITE,3,mix_v3,-0.0047959889102884515,-0.028928501539161974,0.013297988256338393
STAR_PLUS_ELITE,3,v3cond,0.011314096133798373,-0.043909638068131245,0.057890722278064265
STAR_PLUS_ELITE,3,mix_cond,0.017258018703224427,-0.010556891634100228,0.04548808974182364
STAR_PLUS_ELITE,6,v3,-0.006785457425711978,-0.027777572789185717,0.013441430441562917
STAR_PLUS_ELITE,6,mix_v3,0.004875986195078354,-0.008070736463166356,0.01955832841119086
STAR_PLUS_ELITE,6,v3cond,-0.0028084677510857993,-0.0221789074711993,0.016381718166715534
STAR_PLUS_ELITE,6,mix_cond,0.005025768876153416,-0.005060461123327014,0.01882103306290831
