event,h,arm,n,pos,ap,auc,calib,ece
MLB_DEBUT,3,control,42119,2217,0.5130735662622026,0.9382164697735884,0.8948511224184642,0.006932403852725674
MLB_DEBUT,3,v3,42119,2217,0.5158130695534615,0.9368439765834052,0.9849332368235646,0.0042620904254940355
MLB_DEBUT,3,mix_v3,42119,2217,0.5258201336709352,0.9401548622722876,0.9398921796210142,0.004164586065568529
MLB_DEBUT,6,control,35279,3063,0.5538300300652992,0.9183862361154923,0.9354185151376916,0.007111448350820633
MLB_DEBUT,6,v3,35279,3063,0.5584840201604228,0.9193445183632745,0.9645118108757301,0.007340650749453829
MLB_DEBUT,6,mix_v3,35279,3063,0.564482769502422,0.921261331142117,0.9499651630067109,0.006349898621270687
TOP_100_PROSPECT,3,control,41850,319,0.41136887082843143,0.9738334600531432,1.012697054545562,0.0008842386167702237
TOP_100_PROSPECT,3,v3,41850,319,0.39118959306516005,0.9645914307014989,1.0371638227076836,0.0008610285491581732
TOP_100_PROSPECT,3,mix_v3,41850,319,0.41900373158112736,0.9723367497738783,1.024930438626623,0.0007908622520411064
TOP_100_PROSPECT,6,control,35057,368,0.3964577640721024,0.9634954681160672,1.0190692152609422,0.0015596150285331631
TOP_100_PROSPECT,6,v3,35057,368,0.3765909764544885,0.9521831880047178,1.0033475497448554,0.0012642046436882552
TOP_100_PROSPECT,6,mix_v3,35057,368,0.402968375217855,0.9616545763160104,1.0112083825028986,0.001109861617696356
ESTABLISHED_MLB,3,control,42119,291,0.19035591379681466,0.9566274847707202,0.6904386995687889,0.0023662792371392538
ESTABLISHED_MLB,3,v3,42119,291,0.20937401997740115,0.9546894219396929,0.7973275987297,0.0014302805333844739
ESTABLISHED_MLB,3,mix_v3,42119,291,0.21630751385674724,0.959858602747892,0.7438831491492444,0.0018246745335136557
ESTABLISHED_MLB,3,v3cond,42119,291,0.1912635598887957,0.9581227672020947,0.9013554407068346,0.0006913145413413156
ESTABLISHED_MLB,3,mix_cond,42119,291,0.20648166919199024,0.9610582053094543,0.7958970701378119,0.0015127500768690114
ESTABLISHED_MLB,6,control,35279,956,0.26731567222984065,0.9251201543739592,0.7799814850719803,0.007656360391707261
ESTABLISHED_MLB,6,v3,35279,956,0.2923272589798621,0.9286920544514534,0.8622005439884827,0.00567588504752227
ESTABLISHED_MLB,6,mix_v3,35279,956,0.28855832685755145,0.9314363351264147,0.8210910145302314,0.005836440559151629
ESTABLISHED_MLB,6,v3cond,35279,956,0.2896510499253706,0.929610903529441,0.8586953115530412,0.005305559298226091
ESTABLISHED_MLB,6,mix_cond,35279,956,0.2857709616591959,0.9313691661921566,0.8193383983125109,0.005462130829823635
STAR_PLUS_ELITE,3,control,42119,44,0.06311594078361846,0.9527364554637282,0.6758851362982264,0.0003518067848566557
STAR_PLUS_ELITE,3,v3,42119,44,0.04155661881938498,0.9404723707664884,0.9496623354301894,5.258570338972103e-05
STAR_PLUS_ELITE,3,mix_v3,42119,44,0.06456841451159953,0.9555860746502457,0.812773735864208,0.00020564413866203641
STAR_PLUS_ELITE,3,v3cond,42119,44,0.1026127773853214,0.9530967428293631,1.1836057571171696,0.00029488329486481276
STAR_PLUS_ELITE,3,mix_cond,42119,44,0.09109067349189945,0.9608237454761519,0.9297454467076982,8.516720450838967e-05
STAR_PLUS_ELITE,6,control,35279,153,0.08355869212797133,0.9317184559488736,0.9523232823566556,0.0007066678644070461
STAR_PLUS_ELITE,6,v3,35279,153,0.08405838905681788,0.9224103219074264,1.0518907693880983,0.00031007566928430684
STAR_PLUS_ELITE,6,mix_v3,35279,153,0.09154128594945334,0.9330848720516504,1.002107025872377,0.00017236445972243578
STAR_PLUS_ELITE,6,v3cond,35279,153,0.0983894366939866,0.9342108837689453,1.0159057303163161,0.00013926889322850866
STAR_PLUS_ELITE,6,mix_cond,35279,153,0.09805421794909949,0.9371313690880897,0.984114506336486,0.0002233831028334037
