event,h,arm,d_ap,lo,hi
MLB_DEBUT,3,haz,-0.009029336080224215,-0.021485609191005568,0.003692607172519902
MLB_DEBUT,3,mix_haz,0.00717271574255306,0.0007008378659638021,0.013569171098238941
MLB_DEBUT,3,v3,0.005095297668674102,-0.005906184799562843,0.01662568928797753
MLB_DEBUT,3,mix_v3,0.011279351383779574,0.005653981393084856,0.01728172232640778
MLB_DEBUT,6,haz,-0.0024712966368170765,-0.013221948557223204,0.008320884734023159
MLB_DEBUT,6,mix_haz,0.005759742688484668,-0.00024863889438682667,0.01158206952190427
MLB_DEBUT,6,v3,0.0011239966187478404,-0.008745878696396772,0.011246545483524118
MLB_DEBUT,6,mix_v3,0.006409588719768246,0.0015406883739390782,0.011867863061754693
TOP_100_PROSPECT,3,haz,-0.02371012365251335,-0.057985603417219415,0.011335947222131035
TOP_100_PROSPECT,3,mix_haz,0.005989516572596651,-0.010531101813842952,0.021948388269140064
TOP_100_PROSPECT,3,v3,-0.019376694199680276,-0.043207465327380734,0.0029314564659501073
TOP_100_PROSPECT,3,mix_v3,9.429571703621871e-05,-0.011993247708622892,0.011982910583888735
TOP_100_PROSPECT,6,haz,-0.011938885364958293,-0.04346191558096527,0.018708859954078498
TOP_100_PROSPECT,6,mix_haz,0.009103477458185944,-0.006084522574993162,0.025338870432399498
TOP_100_PROSPECT,6,v3,-0.01787677093473557,-0.04633187404277795,0.008322473560058118
TOP_100_PROSPECT,6,mix_v3,-0.0003625743624464445,-0.014952600710604452,0.013146104491241763
ESTABLISHED_MLB,3,haz,0.005662153409422458,-0.02169081842811115,0.04023033767656051
ESTABLISHED_MLB,3,mix_haz,0.015194344789102901,0.0014994286498331705,0.033798753610103295
ESTABLISHED_MLB,3,v3,0.018370948090948747,-0.011203558860329142,0.04618994424997479
ESTABLISHED_MLB,3,mix_v3,0.018642953952558466,0.005268460866754801,0.03372954274833009
ESTABLISHED_MLB,3,v3cond,0.032760035790993465,0.006057094657253764,0.06024313163079749
ESTABLISHED_MLB,3,mix_cond,0.02701737911300136,0.012547053273785786,0.043019957069030675
ESTABLISHED_MLB,6,haz,0.01755415008096371,-0.002440642958604004,0.03513388123974821
ESTABLISHED_MLB,6,mix_haz,0.017650378121578613,0.006606521962685729,0.027514564157649798
ESTABLISHED_MLB,6,v3,0.017401353300900344,-0.0026253443844435295,0.035594001730670836
ESTABLISHED_MLB,6,mix_v3,0.017637150330563445,0.006186336856843386,0.02757575245240106
ESTABLISHED_MLB,6,v3cond,0.024929437406525312,0.006361019087826297,0.043677175087620625
ESTABLISHED_MLB,6,mix_cond,0.020883321195317408,0.01044418987701637,0.03318974715083451
STAR_PLUS_ELITE,3,haz,0.04525324522401852,-0.0026547097857924197,0.11372087120022693
STAR_PLUS_ELITE,3,mix_haz,0.017317729387755602,-0.0022843404785007036,0.05873185026905624
STAR_PLUS_ELITE,3,v3,0.02917764754748461,-0.01012429913826166,0.09029282446476665
STAR_PLUS_ELITE,3,mix_v3,0.012514645752467343,-0.006720732066122345,0.04693988773049444
STAR_PLUS_ELITE,3,v3cond,0.06995250058052074,0.0037708677141577106,0.1545376143021982
STAR_PLUS_ELITE,3,mix_cond,0.04082849835237184,0.0022272188394573517,0.10261076888866527
STAR_PLUS_ELITE,6,haz,0.04854868019846439,0.008532777387958459,0.09082253726628046
STAR_PLUS_ELITE,6,mix_haz,0.03132466673383103,0.007298136024003622,0.06025900697258369
STAR_PLUS_ELITE,6,v3,0.04741871152214216,0.013651358404794724,0.09637684949750458
STAR_PLUS_ELITE,6,mix_v3,0.035784981289981976,0.011586831683012144,0.06970356744762736
STAR_PLUS_ELITE,6,v3cond,0.05715231451631637,0.025552969585594824,0.10100553511470815
STAR_PLUS_ELITE,6,mix_cond,0.043262443278153026,0.019009713307943203,0.0775014161895745
