event,h,arm,n,pos,ap,auc,calib,ece
ESTABLISHED_MLB,3,control,42119,291,0.24838576097671292,0.9672864195607803,0.6185125472073258,0.002731401489415696
ESTABLISHED_MLB,3,haz,42119,291,0.2562575971595537,0.9589644155561624,0.8591273070250082,0.001025374399416907
ESTABLISHED_MLB,3,mix_haz,42119,291,0.2623832325979984,0.9648624443679845,0.7388199271161671,0.0018786762302997104
ESTABLISHED_MLB,3,v3,42119,291,0.2677318311951056,0.9638321244882084,0.7562111723392165,0.0016843360205438887
ESTABLISHED_MLB,3,mix_v3,42119,291,0.26485754381125204,0.9669117465832092,0.6873618597732711,0.002190088355691763
ESTABLISHED_MLB,3,v3cond,42119,291,0.28055769312073664,0.9659927071656895,0.8524399805732776,0.0010306363584099113
ESTABLISHED_MLB,3,mix_cond,42119,291,0.2744074321771231,0.9679547595832648,0.7354762638903017,0.0018609158744607075
ESTABLISHED_MLB,6,control,35279,956,0.32507182789451816,0.9358281441979267,0.736610845486163,0.0073866182626717
ESTABLISHED_MLB,6,haz,35279,956,0.34247069502997957,0.9336054284689249,0.8325871420483021,0.005424189269285916
ESTABLISHED_MLB,6,mix_haz,35279,956,0.34266376031369383,0.9373592545686761,0.7845989937672327,0.0061598023819042415
ESTABLISHED_MLB,6,v3,35279,956,0.34428439625715,0.9362254130919931,0.8350836206234372,0.005322206925612233
ESTABLISHED_MLB,6,mix_v3,35279,956,0.3428255544786147,0.9384647381990215,0.7858472330548001,0.005968888319865064
ESTABLISHED_MLB,6,v3cond,35279,956,0.34929667947420967,0.9378436541265558,0.8418852526057887,0.005142752789810927
ESTABLISHED_MLB,6,mix_cond,35279,956,0.3458392373493606,0.9387980076548204,0.7892480490459757,0.006054250738244213
STAR_PLUS_ELITE,3,control,42119,44,0.05987537158504156,0.9653005995786744,0.4707565494107395,0.0005540522779730519
STAR_PLUS_ELITE,3,haz,42119,44,0.10152937635429293,0.9532555501539459,0.6016476272875977,0.00041614246300590476
STAR_PLUS_ELITE,3,mix_haz,42119,44,0.07324363190896754,0.9622287041538378,0.5362020883491686,0.0005071932687208079
STAR_PLUS_ELITE,3,v3,42119,44,0.08463658979808934,0.9554999189758548,0.6241690318129184,0.0003926152710233289
STAR_PLUS_ELITE,3,mix_v3,42119,44,0.06797126594736282,0.9633851887862582,0.5474627906118289,0.00047274715005293387
STAR_PLUS_ELITE,3,v3cond,42119,44,0.12467963420555563,0.9618408685788365,0.699220946156195,0.0003142115997323636
STAR_PLUS_ELITE,3,mix_cond,42119,44,0.09636947265210773,0.9655852644087939,0.5849887477834672,0.0004335453144074512
STAR_PLUS_ELITE,6,control,35279,153,0.13505504813261549,0.9519301011224205,0.7663588683014106,0.0010799855912402893
STAR_PLUS_ELITE,6,haz,35279,153,0.1819331807154478,0.9449583739434394,0.8063790073108567,0.0008397066776677033
STAR_PLUS_ELITE,6,mix_haz,35279,153,0.16503920161039792,0.9515918231248924,0.7863689378061338,0.000926487500089615
STAR_PLUS_ELITE,6,v3,35279,153,0.18166713649896027,0.9426213158307033,0.9023013712181754,0.0009156301354281574
STAR_PLUS_ELITE,6,mix_v3,35279,153,0.16966254761813454,0.9502519222116906,0.8343301197597931,0.0007497196279152077
STAR_PLUS_ELITE,6,v3cond,35279,153,0.19394028174636527,0.9481151700749384,0.947694687010085,0.0007553895798214089
STAR_PLUS_ELITE,6,mix_cond,35279,153,0.1768582903009509,0.9513262060503754,0.8570267776557479,0.0006955244434720157
