event,horizon_eval,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,1,1,30942,114,0.003684,0.989278,0.403659,109.561520,0.002711,0.003282,0.890912,0.102689,0.000000,0.500000,16,12,30816,98,0.571429,0.140351,0.225352,0.996445,28
MLB_DEBUT,1,1,31274,503,0.016084,0.971039,0.452567,28.138314,0.011312,0.015472,0.961999,0.205267,0.000000,0.500000,114,51,30720,389,0.690909,0.226640,0.341317,0.985931,165
ESTABLISHED_MLB,1,1,31274,3,0.000096,0.994489,0.031188,325.126072,0.000106,0.000339,3.530218,0.016776,0.003008,0.500000,0,0,31271,3,,0.000000,,0.999904,0
STAR_PLUS_ELITE,1,1,31274,1,0.000032,0.991270,0.003650,114.138686,0.000033,0.000156,4.892229,0.009623,0.088801,0.500000,0,0,31273,1,,0.000000,,0.999968,0
TOP_100_PROSPECT,2,2,29950,201,0.006711,0.985228,0.432387,64.427809,0.004837,0.005742,0.855629,0.137238,0.000000,0.500000,35,16,29733,166,0.686275,0.174129,0.277778,0.993923,51
MLB_DEBUT,2,2,30275,987,0.032601,0.963450,0.563469,17.283711,0.020112,0.031338,0.961264,0.285110,0.000000,0.500000,307,124,29164,680,0.712297,0.311044,0.433004,0.973443,431
ESTABLISHED_MLB,2,2,30275,61,0.002015,0.974783,0.192202,95.391910,0.001821,0.002124,1.054346,0.073751,0.000000,0.500000,3,2,30212,58,0.600000,0.049180,0.090909,0.998018,5
STAR_PLUS_ELITE,2,2,30275,8,0.000264,0.986334,0.111795,423.073825,0.000253,0.000444,1.678592,0.027382,0.000002,0.500000,0,0,30267,8,,0.000000,,0.999736,0
TOP_100_PROSPECT,3,3,28777,253,0.008792,0.984454,0.459640,52.280850,0.006088,0.007863,0.894331,0.156662,0.000000,0.500000,52,30,28494,201,0.634146,0.205534,0.310448,0.991973,82
MLB_DEBUT,3,3,29094,1417,0.048704,0.956947,0.607262,12.468374,0.028364,0.047277,0.970688,0.340720,0.000000,0.500000,482,201,27476,935,0.705710,0.340155,0.459048,0.960954,683
ESTABLISHED_MLB,3,3,29094,192,0.006599,0.972903,0.263182,39.880322,0.005521,0.006327,0.958767,0.132640,0.000000,0.500000,17,13,28889,175,0.566667,0.088542,0.153153,0.993538,30
STAR_PLUS_ELITE,3,3,29094,24,0.000825,0.973289,0.075795,91.882985,0.000800,0.000941,1.140568,0.047070,0.000000,0.500000,0,0,29070,24,,0.000000,,0.999175,0
TOP_100_PROSPECT,4,4,27432,269,0.009806,0.983327,0.466171,47.539083,0.006722,0.009277,0.946013,0.164983,0.000000,0.500000,62,31,27132,207,0.666667,0.230483,0.342541,0.991324,93
MLB_DEBUT,4,4,27736,1710,0.061653,0.953515,0.632627,10.261129,0.034475,0.059911,0.971752,0.377868,0.000000,0.500000,659,275,25751,1051,0.705567,0.385380,0.498487,0.952192,934
ESTABLISHED_MLB,4,4,27736,350,0.012619,0.968262,0.342511,27.142534,0.009850,0.011712,0.928153,0.181065,0.000000,0.500000,37,19,27367,313,0.660714,0.105714,0.182266,0.988030,56
STAR_PLUS_ELITE,4,4,27736,56,0.002019,0.969169,0.120997,59.928211,0.001898,0.001820,0.901504,0.072955,0.000000,0.500000,0,0,27680,56,,0.000000,,0.997981,0
TOP_100_PROSPECT,5,5,25905,267,0.010307,0.982290,0.472222,45.816169,0.007029,0.010750,1.043006,0.168738,0.000000,0.500000,77,40,25598,190,0.658120,0.288390,0.401042,0.991121,117
MLB_DEBUT,5,5,26192,1860,0.071014,0.951904,0.648776,9.135884,0.038406,0.069340,0.976421,0.402081,0.000000,0.500000,774,347,23985,1086,0.690455,0.416129,0.519289,0.945289,1121
ESTABLISHED_MLB,5,5,26192,495,0.018899,0.964086,0.382738,20.251875,0.014157,0.017371,0.919145,0.218909,0.000000,0.500000,56,30,25667,439,0.651163,0.113131,0.192771,0.982094,86
STAR_PLUS_ELITE,5,5,26192,90,0.003436,0.966126,0.145736,42.412271,0.003170,0.002701,0.785993,0.094490,0.000000,0.500000,0,0,26102,90,,0.000000,,0.996564,0
TOP_100_PROSPECT,6,6,24191,251,0.010376,0.981850,0.461127,44.442677,0.007158,0.011310,1.090022,0.169141,0.000000,0.500000,70,43,23897,181,0.619469,0.278884,0.384615,0.990740,113
MLB_DEBUT,6,6,24461,1887,0.077143,0.950602,0.656119,8.505206,0.041005,0.076248,0.988401,0.416485,0.000000,0.500000,843,376,22198,1044,0.691550,0.446741,0.542820,0.941948,1219
ESTABLISHED_MLB,6,6,24461,603,0.024651,0.960457,0.420378,17.052848,0.017812,0.022574,0.915737,0.247333,0.000000,0.500000,73,39,23819,530,0.651786,0.121061,0.204196,0.976738,112
STAR_PLUS_ELITE,6,6,24461,118,0.004824,0.962735,0.147009,30.474397,0.004423,0.003772,0.781843,0.111065,0.000000,0.500000,0,0,24343,118,,0.000000,,0.995176,0
TOP_100_PROSPECT,7,7,22296,243,0.010899,0.981396,0.468699,43.004588,0.007448,0.011945,1.096010,0.173142,0.000000,0.500000,71,42,22011,172,0.628319,0.292181,0.398876,0.990402,113
MLB_DEBUT,7,7,22546,1853,0.082188,0.949792,0.663408,8.071880,0.042965,0.081515,0.991819,0.427939,0.000000,0.500000,873,397,20296,980,0.687402,0.471128,0.559078,0.938925,1270
ESTABLISHED_MLB,7,7,22546,677,0.030027,0.958188,0.444467,14.802009,0.021139,0.027592,0.918906,0.270878,0.000000,0.500000,97,52,21817,580,0.651007,0.143279,0.234867,0.971968,149
STAR_PLUS_ELITE,7,7,22546,138,0.006121,0.959816,0.162467,26.543302,0.005539,0.004883,0.797824,0.124236,0.000000,0.500000,0,0,22408,138,,0.000000,,0.993879,0
TOP_100_PROSPECT,8,8,20404,231,0.011321,0.979861,0.461123,40.730572,0.007828,0.012578,1.110967,0.175866,0.000000,0.500000,68,42,20131,163,0.618182,0.294372,0.398827,0.989953,110
MLB_DEBUT,8,8,20636,1774,0.085966,0.948961,0.661015,7.689234,0.044776,0.085866,0.998837,0.435958,0.000000,0.500000,847,401,18461,927,0.678686,0.477452,0.560556,0.935646,1248
ESTABLISHED_MLB,8,8,20636,712,0.034503,0.955374,0.451059,13.073118,0.024070,0.031957,0.926211,0.287914,0.000000,0.500000,114,57,19867,598,0.666667,0.160112,0.258211,0.968259,171
STAR_PLUS_ELITE,8,8,20636,152,0.007366,0.956105,0.170053,23.086914,0.006616,0.005966,0.809930,0.135101,0.000000,0.500000,0,0,20484,152,,0.000000,,0.992634,0
TOP_100_PROSPECT,9,9,18486,218,0.011793,0.978682,0.458719,38.898571,0.008192,0.013259,1.124342,0.179006,0.000000,0.500000,65,41,18227,153,0.613208,0.298165,0.401235,0.989506,106
MLB_DEBUT,9,9,18701,1663,0.088926,0.946986,0.656303,7.380347,0.046519,0.089812,1.009967,0.440732,0.000000,0.500000,801,387,16651,862,0.674242,0.481660,0.561908,0.933212,1188
ESTABLISHED_MLB,9,9,18701,714,0.038180,0.952915,0.454133,11.894605,0.026446,0.035615,0.932812,0.300657,0.000000,0.500000,129,69,17918,585,0.651515,0.180672,0.282895,0.965029,198
STAR_PLUS_ELITE,9,9,18701,164,0.008770,0.952548,0.179132,20.426562,0.007821,0.006849,0.781023,0.146161,0.000000,0.500000,0,0,18537,164,,0.000000,,0.991230,0
TOP_100_PROSPECT,10,10,16493,206,0.012490,0.977137,0.458550,36.712960,0.008707,0.014031,1.123387,0.183564,0.000000,0.500000,61,38,16249,145,0.616162,0.296117,0.400000,0.988904,99
MLB_DEBUT,10,10,16686,1544,0.092533,0.943828,0.650955,7.034869,0.048796,0.093875,1.014502,0.445521,0.000000,0.500000,742,369,14773,802,0.667867,0.480570,0.558945,0.929821,1111
ESTABLISHED_MLB,10,10,16686,697,0.041772,0.950543,0.469040,11.228706,0.028545,0.037854,0.906214,0.312250,0.000000,0.500000,123,62,15927,574,0.664865,0.176471,0.278912,0.961884,185
STAR_PLUS_ELITE,10,10,16686,170,0.010188,0.949464,0.185919,18.248451,0.009043,0.007343,0.720706,0.156354,0.000000,0.500000,0,0,16516,170,,0.000000,,0.989812,0
