event,snap_offset,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,0,6,3344,113,0.033792,0.958673,0.511608,15.139986,0.022148,0.035484,1.050072,0.287102,0.000000,0.500000,37,24,3207,76,0.606557,0.327434,0.425287,0.970096,61
TOP_100_PROSPECT,1,6,3117,77,0.024703,0.961908,0.469750,19.015727,0.016743,0.024585,0.995219,0.248366,0.000000,0.500000,18,9,3031,59,0.666667,0.233766,0.346154,0.978184,27
TOP_100_PROSPECT,2,6,2870,40,0.013937,0.971811,0.518167,37.178508,0.009505,0.016958,1.216704,0.191602,0.000000,0.500000,14,7,2823,26,0.666667,0.350000,0.459016,0.988502,21
TOP_100_PROSPECT,3,6,2606,16,0.006140,0.968388,0.164223,26.747847,0.006001,0.007842,1.277329,0.126745,0.000000,0.500000,0,3,2587,16,0.000000,0.000000,,0.992709,3
TOP_100_PROSPECT,4,6,2347,5,0.002130,0.942699,0.482496,226.483430,0.001691,0.003180,1.492580,0.070707,0.000608,0.500000,1,0,2342,4,1.000000,0.200000,0.333333,0.998296,1
TOP_100_PROSPECT,5,6,2109,0,0.000000,,,,0.000007,0.000429,,,,0.500000,0,0,2109,0,,,,1.000000,0
TOP_100_PROSPECT,6,6,1915,0,0.000000,,,,0.000000,0.000169,,,,0.500000,0,0,1915,0,,,,1.000000,0
TOP_100_PROSPECT,7,6,1727,0,0.000000,,,,0.000000,0.000107,,,,0.500000,0,0,1727,0,,,,1.000000,0
TOP_100_PROSPECT,8,6,1549,0,0.000000,,,,0.000000,0.000082,,,,0.500000,0,0,1549,0,,,,1.000000,0
TOP_100_PROSPECT,9,6,1388,0,0.000000,,,,0.000000,0.000077,,,,0.500000,0,0,1388,0,,,,1.000000,0
TOP_100_PROSPECT,10,6,1219,0,0.000000,,,,0.000000,0.000072,,,,0.500000,0,0,1219,0,,,,1.000000,0
MLB_DEBUT,0,6,3357,424,0.126303,0.911096,0.569864,4.511872,0.072871,0.121497,0.961948,0.473066,0.000000,0.500000,168,98,2835,256,0.631579,0.396226,0.486957,0.894549,266
MLB_DEBUT,1,6,3156,431,0.136565,0.924026,0.679071,4.972505,0.069130,0.133364,0.976557,0.504392,0.000000,0.500000,204,90,2635,227,0.693878,0.473318,0.562759,0.899556,294
MLB_DEBUT,2,6,2925,396,0.135385,0.938826,0.730189,5.393443,0.062351,0.134012,0.989862,0.520091,0.000000,0.500000,220,87,2442,176,0.716612,0.555556,0.625889,0.910085,307
MLB_DEBUT,3,6,2646,273,0.103175,0.942647,0.715875,6.938484,0.049850,0.106078,1.028140,0.466432,0.000000,0.500000,139,57,2316,134,0.709184,0.509158,0.592751,0.927816,196
MLB_DEBUT,4,6,2379,173,0.072720,0.945930,0.674140,9.270395,0.038409,0.076450,1.051304,0.401134,0.000000,0.500000,77,27,2179,96,0.740385,0.445087,0.555957,0.948298,104
