event,horizon_eval,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,1,1,30942,114,0.003684,0.990327,0.448021,121.602338,0.002580,0.003363,0.912700,0.102909,0.000000,0.500000,33,22,30806,81,0.600000,0.289474,0.390533,0.996671,55
MLB_DEBUT,1,1,31274,503,0.016084,0.971873,0.452172,28.113801,0.011300,0.015392,0.957019,0.205630,0.000000,0.500000,124,59,30712,379,0.677596,0.246521,0.361516,0.985995,183
ESTABLISHED_MLB,1,1,31274,3,0.000096,0.989575,0.019178,199.924029,0.000101,0.000296,3.087225,0.016610,0.003310,0.500000,0,0,31271,3,,0.000000,,0.999904,0
STAR_PLUS_ELITE,1,1,31274,1,0.000032,0.981741,0.001748,54.674825,0.000032,0.000129,4.028665,0.009436,0.095168,0.500000,0,0,31273,1,,0.000000,,0.999968,0
TOP_100_PROSPECT,2,2,29950,201,0.006711,0.986437,0.461805,68.811287,0.004744,0.005841,0.870302,0.137580,0.000000,0.500000,64,39,29710,137,0.621359,0.318408,0.421053,0.994124,103
MLB_DEBUT,2,2,30275,987,0.032601,0.964822,0.565137,17.334877,0.020104,0.031056,0.952616,0.285954,0.000000,0.500000,312,143,29145,675,0.685714,0.316109,0.432732,0.972981,455
ESTABLISHED_MLB,2,2,30275,61,0.002015,0.981595,0.128133,63.593890,0.001868,0.001991,0.988039,0.074810,0.000000,0.500000,0,0,30214,61,,0.000000,,0.997985,0
STAR_PLUS_ELITE,2,2,30275,8,0.000264,0.988816,0.138195,522.980464,0.000253,0.000393,1.486125,0.027522,0.000002,0.500000,0,0,30267,8,,0.000000,,0.999736,0
TOP_100_PROSPECT,3,3,28777,253,0.008792,0.984878,0.483221,54.963092,0.006043,0.007704,0.876239,0.156799,0.000000,0.500000,77,45,28479,176,0.631148,0.304348,0.410667,0.992320,122
MLB_DEBUT,3,3,29094,1417,0.048704,0.957812,0.607604,12.475385,0.028350,0.046141,0.947363,0.341365,0.000000,0.500000,486,190,27487,931,0.718935,0.342978,0.464405,0.961470,676
ESTABLISHED_MLB,3,3,29094,192,0.006599,0.976613,0.260557,39.482570,0.005524,0.005961,0.903269,0.133680,0.000000,0.500000,8,7,28895,184,0.533333,0.041667,0.077295,0.993435,15
STAR_PLUS_ELITE,3,3,29094,24,0.000825,0.979127,0.124361,150.756704,0.000785,0.000821,0.995595,0.047650,0.000000,0.500000,0,0,29070,24,,0.000000,,0.999175,0
TOP_100_PROSPECT,4,4,27432,269,0.009806,0.983317,0.479620,48.910552,0.006763,0.008984,0.916123,0.164980,0.000000,0.500000,86,47,27116,183,0.646617,0.319703,0.427861,0.991616,133
MLB_DEBUT,4,4,27736,1710,0.061653,0.954264,0.633441,10.274342,0.034351,0.058911,0.955528,0.378492,0.000000,0.500000,646,270,25756,1064,0.705240,0.377778,0.492003,0.951904,916
ESTABLISHED_MLB,4,4,27736,350,0.012619,0.972311,0.338152,26.797079,0.009930,0.011264,0.892659,0.182630,0.000000,0.500000,27,22,27364,323,0.551020,0.077143,0.135338,0.987561,49
STAR_PLUS_ELITE,4,4,27736,56,0.002019,0.971383,0.144748,71.691445,0.001874,0.001550,0.767563,0.073299,0.000000,0.500000,0,0,27680,56,,0.000000,,0.997981,0
TOP_100_PROSPECT,5,5,25905,267,0.010307,0.982386,0.488008,47.347708,0.007016,0.010142,0.983974,0.168771,0.000000,0.500000,89,53,25585,178,0.626761,0.333333,0.435208,0.991083,142
MLB_DEBUT,5,5,26192,1860,0.071014,0.952726,0.653769,9.206189,0.038110,0.068331,0.962213,0.402812,0.000000,0.500000,777,337,23995,1083,0.697487,0.417742,0.522529,0.945785,1114
