event,snap_offset,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,0,6,3344,113,0.033792,0.956662,0.518517,15.344420,0.022307,0.033190,0.982197,0.285842,0.000000,0.500000,36,19,3212,77,0.654545,0.318584,0.428571,0.971292,55
TOP_100_PROSPECT,1,6,3117,77,0.024703,0.961667,0.477974,19.348646,0.016772,0.024796,1.003736,0.248236,0.000000,0.500000,30,17,3023,47,0.638298,0.389610,0.483871,0.979467,47
TOP_100_PROSPECT,2,6,2870,40,0.013937,0.968648,0.447833,32.131993,0.009897,0.015245,1.093829,0.190318,0.000000,0.500000,11,9,2821,29,0.550000,0.275000,0.366667,0.986760,20
TOP_100_PROSPECT,3,6,2606,16,0.006140,0.968726,0.321685,52.394524,0.005299,0.007251,1.181063,0.126837,0.000000,0.500000,3,6,2584,13,0.333333,0.187500,0.240000,0.992709,9
TOP_100_PROSPECT,4,6,2347,5,0.002130,0.946627,0.615888,289.097958,0.001436,0.003181,1.493159,0.071335,0.000543,0.500000,2,2,2340,3,0.500000,0.400000,0.444444,0.997870,4
TOP_100_PROSPECT,5,6,2109,0,0.000000,,,,0.000005,0.000314,,,,0.500000,0,0,2109,0,,,,1.000000,0
TOP_100_PROSPECT,6,6,1915,0,0.000000,,,,0.000000,0.000126,,,,0.500000,0,0,1915,0,,,,1.000000,0
TOP_100_PROSPECT,7,6,1727,0,0.000000,,,,0.000000,0.000087,,,,0.500000,0,0,1727,0,,,,1.000000,0
TOP_100_PROSPECT,8,6,1549,0,0.000000,,,,0.000000,0.000073,,,,0.500000,0,0,1549,0,,,,1.000000,0
TOP_100_PROSPECT,9,6,1388,0,0.000000,,,,0.000000,0.000059,,,,0.500000,0,0,1388,0,,,,1.000000,0
TOP_100_PROSPECT,10,6,1219,0,0.000000,,,,0.000000,0.000057,,,,0.500000,0,0,1219,0,,,,1.000000,0
MLB_DEBUT,0,6,3357,424,0.126303,0.909700,0.574164,4.545919,0.073014,0.117996,0.934226,0.471460,0.000000,0.500000,168,101,2832,256,0.624535,0.396226,0.484848,0.893655,269
MLB_DEBUT,1,6,3156,431,0.136565,0.924866,0.680907,4.985948,0.068701,0.129522,0.948422,0.505391,0.000000,0.500000,200,92,2633,231,0.684932,0.464037,0.553250,0.897655,292
MLB_DEBUT,2,6,2925,396,0.135385,0.942383,0.743422,5.491188,0.060610,0.131954,0.974661,0.524306,0.000000,0.500000,216,69,2460,180,0.757895,0.545455,0.634361,0.914872,285
MLB_DEBUT,3,6,2646,273,0.103175,0.948102,0.732198,7.096690,0.048535,0.104524,1.013081,0.472180,0.000000,0.500000,142,51,2322,131,0.735751,0.520147,0.609442,0.931217,193
MLB_DEBUT,4,6,2379,173,0.072720,0.945595,0.672559,9.248657,0.038653,0.074760,1.028052,0.400832,0.000000,0.500000,74,32,2174,99,0.698113,0.427746,0.530466,0.944935,106
MLB_DEBUT,5,6,2131,91,0.042703,0.941656,0.511043,11.967385,0.028366,0.045406,1.063305,0.309334,0.000000,0.500000,25,19,2021,66,0.568182,0.274725,0.370370,0.960113,44
MLB_DEBUT,6,6,1933,51,0.026384,0.950887,0.401876,15.231890,0.019244,0.027876,1.056545,0.250335,0.000000,0.500000,10,9,1873,41,0.526316,0.196078,0.285714,0.974133,19
MLB_DEBUT,7,6,1741,30,0.017231,0.965264,0.420653,24.411917,0.012178,0.014454,0.838826,0.209738,0.000000,0.500000,0,2,1709,30,0.000000,0.000000,,0.981620,2
MLB_DEBUT,8,6,1562,11,0.007042,0.931657,0.360082,51.131632,0.005757,0.008052,1.143453,0.125041,0.000001,0.500000,1,0,1551,10,1.000000,0.090909,0.166667,0.993598,1
MLB_DEBUT,9,6,1400,6,0.004286,0.991631,0.287620,67.111309,0.003563,0.004508,1.051916,0.111252,0.000030,0.500000,0,0,1394,6,,0.000000,,0.995714,0
MLB_DEBUT,10,6,1231,1,0.000812,0.993496,0.111111,136.777778,0.000842,0.002768,3.406914,0.048704,0.087617,0.500000,0,0,1230,1,,0.000000,,0.999188,0
ESTABLISHED_MLB,0,6,3357,129,0.038427,0.922395,0.347014,9.030438,0.029802,0.036008,0.937037,0.281268,0.000000,0.500000,12,6,3222,117,0.666667,0.093023,0.163265,0.963360,18
ESTABLISHED_MLB,1,6,3156,157,0.049747,0.937860,0.431025,8.664436,0.034998,0.042912,0.862606,0.329782,0.000000,0.500000,24,13,2986,133,0.648649,0.152866,0.247423,0.953739,37
ESTABLISHED_MLB,2,6,2925,152,0.051966,0.949164,0.499064,9.603697,0.034410,0.044219,0.850929,0.345356,0.000000,0.500000,34,14,2759,118,0.708333,0.223684,0.340000,0.954872,48
ESTABLISHED_MLB,3,6,2646,84,0.031746,0.956656,0.434044,13.672395,0.023049,0.031679,0.997882,0.277344,0.000000,0.500000,17,7,2555,67,0.708333,0.202381,0.314815,0.972033,24
ESTABLISHED_MLB,4,6,2379,48,0.020177,0.960058,0.427590,21.192449,0.014658,0.019801,0.981411,0.224079,0.000000,0.500000,7,3,2328,41,0.700000,0.145833,0.241379,0.981505,10
ESTABLISHED_MLB,5,6,2131,19,0.008916,0.963866,0.152487,17.102593,0.008026,0.009693,1.087121,0.151051,0.000000,0.500000,0,0,2112,19,,0.000000,,0.991084,0
ESTABLISHED_MLB,6,6,1933,8,0.004139,0.968701,0.147019,35.523374,0.003864,0.004461,1.077784,0.104235,0.000004,0.500000,0,0,1925,8,,0.000000,,0.995861,0
ESTABLISHED_MLB,7,6,1741,4,0.002298,0.986183,0.245635,106.912599,0.002119,0.001842,0.801779,0.080635,0.000758,0.500000,0,0,1737,4,,0.000000,,0.997702,0
ESTABLISHED_MLB,8,6,1562,2,0.001280,1.000000,1.000000,781.000000,0.000869,0.001107,0.864533,0.061938,0.014353,0.500000,0,0,1560,2,,0.000000,,0.998720,0
ESTABLISHED_MLB,9,6,1400,0,0.000000,,,,0.000003,0.000482,,,,0.500000,0,0,1400,0,,,,1.000000,0
ESTABLISHED_MLB,10,6,1231,0,0.000000,,,,0.000001,0.000345,,,,0.500000,0,0,1231,0,,,,1.000000,0
STAR_PLUS_ELITE,0,6,3357,28,0.008341,0.923583,0.094653,11.348218,0.007953,0.006876,0.824424,0.133448,0.000000,0.500000,0,0,3329,28,,0.000000,,0.991659,0
STAR_PLUS_ELITE,1,6,3156,33,0.010456,0.931350,0.209895,20.073642,0.009289,0.007643,0.730911,0.151994,0.000000,0.500000,0,0,3123,33,,0.000000,,0.989544,0
STAR_PLUS_ELITE,2,6,2925,34,0.011624,0.952408,0.203259,17.486268,0.010386,0.006984,0.600791,0.167980,0.000000,0.500000,0,0,2891,34,,0.000000,,0.988376,0
